ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
ho.pa;THALES;Industrials;Aerospace & Defense;119.3000030517578;74.70 - 131.15;219001;0.0219;1670284800.0;0.07283;52.55507;15.801325;2.27;7.55;0.698759;25405769728.0;1656547200.0;EUR;1672425852
kof.pa;KAUFMAN ET BROAD;Consumer Cyclical;Residential Construction;27.450000762939453;18.12 - 38.25;15989;0.082100004;1654041600.0;0.034479998;15.395402;7.7323947;1.783;3.55;1.055198;596021888.0;1661904000.0;EUR;1672425852
nxi.pa;NEXITY;Real Estate;Real Estate—Diversified;26.059999465942383;16.80 - 42.14;105311;0.1257;1653264000.0;0.023540001;14.086486;6.4187193;1.85;4.06;1.14848;1439327616.0;1656547200.0;EUR;1672425852
bekb.br;BEKAERT;Industrials;Metal Fabrication;36.27999877929688;24.84 - 45.60;49566;0.053000003;1652313600.0;0.08092;16.010592;;2.266;;1.59863;2078024064.0;1656547200.0;EUR;1672425852
alx.as;ALUMEXX N.V.;Consumer Cyclical;Internet Retail;0.6499999761581421;0.61 - 0.98;7136;;;0.03663;32.5;;0.02;;1.106149;7114574.0;1656547200.0;EUR;1672425852
iph.pa;INNATE PHARMA;Healthcare;Biotechnology;3.289999961853028;1.99 - 4.46;725380;;;-0.39990002;;;-0.811;;0.424047;260932848.0;1656547200.0;EUR;1672425852
cbot.pa;CBO TERRITORIA;Real Estate;Real Estate—Diversified;3.609999895095825;3.40 - 3.92;57059;0.0669;1655164800.0;0.20283002;10.027777;10.617646;0.36;0.34;0.465126;129268680.0;1656547200.0;EUR;1672425852
rbo.pa;ROCHE BOBOIS;Consumer Cyclical;Furnishings, Fixtures & Appliances;35.5;28.50 - 38.00;1971;0.030299999;1656028800.0;0.07911;17.929293;;1.98;;0.806748;350446048.0;1656547200.0;EUR;1672425852
orp.pa;ORPEA;Healthcare;Medical Care Facilities;6.171999931335449;5.70 - 90.56;633333;;1625788800.0;-0.06777;10.641379;8.944927;0.58;0.69;0.967097;398830304.0;1656547200.0;EUR;1672425852
nxfil.as;NX FILTRATION N.V.;Utilities;Utilities—Regulated Water;11.0;8.93 - 12.18;4320;;;-0.82071996;;;-2.59;;;550000000.0;1656547200.0;EUR;1672425852
waga.pa;WAGA ENERGY;Industrials;Specialty Industrial Machinery;28.5;24.85 - 39.00;2133;;;-0.77049005;;;-24.347;;;4126629.0;1656547200.0;EUR;1672425852
abo.br;ABO GROUP ENVIRONMENT;Industrials;Waste Management;5.849999904632568;4.70 - 6.05;510;;;0.040430002;28.960394;;0.202;;0.433461;61826892.0;1656547200.0;EUR;1672436564
nrg.pa;NRJ GROUP;Communication Services;Broadcasting;6.78000020980835;5.28 - 6.90;4315;0.031600002;1655164800.0;0.08941;13.11412;18.833334;0.517;0.36;0.406931;524564544.0;1656547200.0;EUR;1672436564
dkupl.pa;DEKUPLE;Communication Services;Advertising Agencies;30.0;20.00 - 36.20;831;0.028199999;1655856000.0;0.05806;16.67593;;1.799;;0.835258;118502400.0;1656547200.0;EUR;1672436564
into.br;INTERVEST OFF-WARE;Real Estate;REIT—Diversified;19.239999771118164;18.36 - 29.70;43052;0.069699995;1651708800.0;1.64668;11.1471615;;1.726;;0.414634;506029312.0;1656547200.0;EUR;1672436564
pig.pa;HAULOTTE GROUP;Industrials;Farm & Heavy Construction Machinery;3.4649999141693115;2.62 - 5.64;5670;0.08;1657756800.0;-0.02564;;;-0.882;;0.999144;102317984.0;1656547200.0;EUR;1672436564
econb.br;ECONOCOM GROUP;Technology;Information Technology Services;2.8499999046325684;2.42 - 4.11;55681;0.0542;1656547200.0;0.02644;13.636363;;0.209;;1.540864;527190144.0;1656547200.0;EUR;1672436564
sx.pa;CS GROUP.;Industrials;Aerospace & Defense;11.300000190734863;4.56 - 11.30;3950;0.0036000002;1658880000.0;0.00452;;;-0.16;;1.113821;276802560.0;1656547200.0;EUR;1672436564
vam.as;VAM INVESTMENTS SHARES;Financial Services;Shell Companies;9.75;9.50 - 9.85;111;;;0.0;;;;;;219375008.0;1656547200.0;EUR;1672436564
en.pa;BOUYGUES;Industrials;Engineering & Construction;28.040000915527344;25.73 - 33.72;1066060;0.0647;1651536000.0;0.02229;15.322405;9.569966;1.83;2.93;1.011553;10647404544.0;1656547200.0;EUR;1672436564
li.pa;KLEPIERRE;Real Estate;REIT—Retail;21.530000686645508;16.43 - 26.88;817342;0.086;1652313600.0;0.47617;;8.06367;-2.75;2.67;1.813008;6140894208.0;1656547200.0;EUR;1672436564
infe.pa;INDLE FIN.ENTREPRISES;Industrials;Engineering & Construction;50.0;42.20 - 55.00;30;0.0368;1656892800.0;0.03971;108.45987;;0.461;;0.543003;58632500.0;1656547200.0;EUR;1672436564
brill.as;Koninklijke Brill;Communication Services;Publishing;17.799999237060547;16.00 - 25.20;195;0.051999997;1653609600.0;0.07743;8.396227;7.9464283;2.12;2.24;0.62593;34329436.0;1656547200.0;EUR;1672436564
te.pa;TECHNIP ENERGIES N.V.;Energy;Oil & Gas Equipment & Services;14.670000076293944;8.44 - 15.95;322256;0.0355;1652832000.0;0.0434;10.842572;9.588236;1.353;1.53;;2611641344.0;1664496000.0;EUR;1672436564
aac.pa;ACCOR ACQUISITION COMPANY SHARE;Financial Services;Shell Companies;9.899999618530272;9.55 - 9.90;0;;;0.0;;;;;;;;EUR;1672436564
