shortName;sector;industry;ticker;last_price;range_52_weeks;averageVolume10days;dividendYield;est_avg_dividend_yield_3y;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency
CRCAM ATL.VEND.CCI;Financial Services;Banks—Regional;crav.pa;82.0;72.61 - 98.33;424;0.052800003;0.04451219512195121;1652313600;0.2578;5.212969;N/A;15.73;N/A;0.413907;605984128;1640908800;EUR
CRCAM BRIE PIC2CCI;Financial Services;Banks—Regional;crbp2.pa;19.860000610351562;17.50 - 21.94;3655;0.05;0.04934541640896012;1651795200;0.36504;1.2154223;N/A;16.34;N/A;0.757805;304151936;1656547200;EUR
CRCAM ILLE-VIL.CCI;Financial Services;Banks—Regional;civ.pa;61.5;53.11 - 75.81;214;0.035;0.03214092140921409;1652227200;0.23972;6.047198;N/A;10.17;N/A;0.894039;372062688;1640908800;EUR
CRCAM LANGUED CCI;Financial Services;Banks—Regional;crla.pa;50.15999984741211;45.00 - 60.97;463;0.0555;0.034821903348884915;1650326400;0.34561002;3.9936304;N/A;12.56;N/A;0.78666;991472576;1640908800;EUR
CRCAM LOIRE HAUTE LOIRE CCI;Financial Services;Banks—Regional;crlo.pa;60.0;55.38 - 69.86;106;0.0496;0.06422222222222222;1654041600;0.23677;5.08044;N/A;11.81;N/A;0.410596;486209984;1640908800;EUR
CRCAM MORBIHAN CCI;Financial Services;Banks—Regional;cmo.pa;60.029998779296875;55.28 - 73.51;145;0.045;0.043367206168112904;1653868800;0.32601002;5.931818;N/A;10.12;N/A;0.534058;314824320;1648684800;EUR
CRCAM NORD CCI;Financial Services;Banks—Regional;cnf.pa;17.972000122070312;16.45 - 21.51;4541;0.0574;0.05842421504941787;1651795200;0.25776;5.9509935;5.892459;3.02;3.05;0.911069;290961280;1640908800;EUR
CRCAM NORM.SEINE;Financial Services;Banks—Regional;ccn.pa;79.0999984741211;76.22 - 95.25;180;0.052399997;0.0853771613604114;1652659200;0.259;4.686019;N/A;16.88;N/A;0.797067;275919776;1640908800;EUR
CRCAM PARIS ET IDF;Financial Services;Banks—Regional;caf.pa;74.5;61.61 - 82.92;429;0.044099998;0.042505592841163314;1651536000;0.32307997;6.297549;N/A;11.83;N/A;0.582781;615914624;1640908800;EUR
CRCAM SUD R.A.CCI;Financial Services;Banks—Regional;crsu.pa;120.4800033569336;114.00 - 147.44;144;0.0512;0.06717573960681306;1653868800;0.27831;5.109415;N/A;23.58;N/A;0.577105;76114688;1656547200;EUR
CRCAM TOURAINE CCI;Financial Services;Banks—Regional;crto.pa;63.209999084472656;59.50 - 88.31;233;0.0466;0.048199125309196074;1652745600;0.25305;6.3655586;N/A;9.93;N/A;0.568117;398759648;1640908800;EUR
CREDIT AGRICOLE;Financial Services;Banks—Regional;aca.pa;9.312000274658203;8.09 - 12.93;5336165;0.1126;0.06622279300666166;1653868800;0.24622999;5.6436367;6.334694;1.65;1.47;1.936613;28149059584;1656547200;EUR
CRESCENT;Technology;Communication Equipment;opti.br;0.01850000023841858;0.02 - 0.03;784745;N/A;0.0;N/A;-0.31068;N/A;N/A;-0.003;N/A;0.798241;36890296;1625011200;EUR
CRH PLC;Basic Materials;Building Materials;crg.ir;36.970001220703125;31.88 - 46.92;1176140;0.0296;0.0287620583776954;1646870400;0.08279;11.271342;N/A;3.28;N/A;0.885998;27964147712;1640908800;EUR
CROSSWOOD;Real Estate;Real Estate Services;cros.pa;7.849999904632568;4.50 - 7.90;35;0.061100002;0.020382165852712714;1656028800;3.9660997;10.608108;N/A;0.74;N/A;0.529801;83469048;1625011200;EUR
CRYSTAL PEAK ACQUISITION SHARES;Financial Services;Shell Companies;cpa1.as;10.0;9.52 - 10.00;0;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;150000000;N/A;USD
CS GROUP.;Industrials;Aerospace & Defense;sx.pa;11.100000381469727;4.35 - 11.20;5305;0.0036000002;0.0013352852393960155;1658880000;-0.0024899999;N/A;N/A;-0.024;N/A;1.160359;272019936;1640908800;EUR
CTAC;Technology;Information Technology Services;ctac.as;3.950000047683716;3.61 - 4.38;2667;0.028099999;0.022784809851528004;1651795200;0.04186;11.969697;10.972222;0.33;0.36;1.511825;53867336;1640908800;EUR
CLIMATE TRANSITION CAPITAL ACQU;Financial Services;Shell Companies;ctca1.as;9.600000381469727;9.41 - 10.00;2;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;45506400;1625011200;EUR
CTP NV;Real Estate;Real Estate—Development;ctpnv.as;13.760000228881836;10.34 - 21.06;95120;0.0322;0.013808139305201144;1660262400;2.7135801;5.172932;18.346666;2.66;0.75;N/A;5966033408;1656547200;EUR
CTT-CORREIOS DE PORTUGAL, SA;Industrials;Integrated Freight & Logistics;ctt.ls;3.259999990463257;2.96 - 5.00;390294;0.037100002;0.020961145255593377;1652832000;0.04089;13.04;10.866666;0.25;0.3;1.0421;470391904;1656547200;EUR
CUMULEX;Consumer Defensive;Confectioners;clex.br;2.819999933242798;1.67 - 4.86;0;N/A;0.0;N/A;0.0;N/A;N/A;-0.147;N/A;N/A;1240800;1656547200;EUR
D'IETEREN GROUP;Consumer Cyclical;Auto & Truck Dealerships;die.br;158.6999969482422;109.02 - 177.29;35529;0.013099999;0.00934677606715457;1654560000;0.07633;33.765957;15.08555;4.7;10.52;1.31788;8466771968;1640908800;EUR
DALATA HOTEL GROUP PLC;Consumer Cyclical;Lodging;dhg.ir;3.549999952316284;3.30 - 4.49;357840;N/A;0.010093896849196576;1586390400;-0.03296;N/A;N/A;-0.028;N/A;1.737464;791181376;1640908800;EUR
DANONE;Consumer Defensive;Packaged Foods;bn.pa;53.5099983215332;44.86 - 61.67;918813;0.0366;0.05033327261850234;1652140800;0.06181;21.930326;14.946927;2.44;3.58;0.52034;34211829760;1656547200;EUR
DASSAULT AVIATION;Industrials;Aerospace & Defense;am.pa;141.6999969482422;80.53 - 166.00;30568;0.0174;0.008750882333843144;1653264000;0.09149;18.26031;16.92951;7.76;8.37;0.868495;11790374912;1656547200;EUR
DASSAULT SYSTEMES;Technology;Software—Application;dsy.pa;40.314998626708984;33.16 - 56.57;871011;0.0042;0.0034891894197777297;1653264000;0.15376;67.19166;35.364033;0.6;1.14;0.745979;52420382720;1656547200;EUR
DBV TECHNOLOGIES;Healthcare;Biotechnology;dbv.pa;4.622000217437744;2.17 - 10.52;122949;N/A;0.0;N/A;0.0;N/A;-4.2796297;-1.482;-1.08;1.56244;434093152;1656547200;EUR
DECEUNINCK;Industrials;Building Products & Equipment;decb.br;2.3499999046325684;2.12 - 4.05;146521;0.0253;0.015602837512625194;1652054400;0.02269;16.785713;9.4;0.14;0.25;1.150425;321303712;1656547200;EUR
DEE TECH SHARES;Financial Services;Shell Companies;dee.pa;9.600000381469727;9.45 - 10.00;3;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EUR
DEEZER;Communication Services;Entertainment;deezr.pa;4.320000171661377;3.35 - 8.50;5694;N/A;0.0;N/A;-0.30813;N/A;N/A;N/A;N/A;N/A;508101152;1435622400;EUR
DEKUPLE;Communication Services;Advertising Agencies;dkupl.pa;31.5;15.00 - 35.25;936;0.028199999;0.027407407407407408;1655856000;0.0517;15.071771;N/A;2.09;N/A;0.757805;125332200;1640908800;EUR
DEME GROUP;Industrials;Engineering & Construction;deme.br;115.0;98.10 - 122.26;6824;N/A;0.0;N/A;0.045640003;5.04386;N/A;22.8;N/A;N/A;2911167488;1419984000;EUR
DERICHEBOURG;Industrials;Waste Management;dbg.pa;5.929999828338623;5.38 - 11.76;274043;0.0547;0.024170883217966344;1643932800;0.04834;5.871287;4.360294;1.01;1.36;1.668874;945224128;1648684800;EUR
DGB GROUP N.V.;Basic Materials;Lumber & Wood Production;dgb.as;1.0800000429153442;0.69 - 1.34;11551;N/A;0.0;1449446400;-0.92627;N/A;N/A;-0.054;N/A;0.782403;10908540;1625011200;EUR
DIAGEO;Consumer Defensive;Beverages—Wineries & Distilleries;dge.pa;46.20000076293945;38.04 - 49.47;428;0.0195;0.01239466068997744;1661385600;0.21025999;28.0;N/A;1.65;N/A;0.420056;105264390144;1656547200;EUR
DISRUPTIVE CAPITAL SHARES;Financial Services;Shell Companies;dcacs.as;10.100000381469727;9.82 - 10.10;4000;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;129406256;N/A;GBP
DLTX ASA;Technology;Software—Infrastructure;dltx.ol;3.494999885559082;3.45 - 17.62;610633;N/A;0.0;N/A;-2.26494;N/A;N/A;-1.04;N/A;N/A;248663312;1648684800;NOK
DMS IMAGING;Healthcare;Biotechnology;dmsim.br;0.12399999797344208;0.10 - 0.37;4125;N/A;0.0;N/A;9385.542;0.68888885;N/A;0.18;N/A;1.114947;184711632;1640908800;EUR
DNB BANK ASA;Financial Services;Banks—Regional;dnb.ol;191.4499969482422;164.21 - 208.97;738869;0.0506;0.06294071659482801;1651017600;0.46176997;11.182826;9.83813;17.12;19.46;N/A;296766636032;1656547200;NOK
DNO;Energy;Oil & Gas E&P;dno.ol;14.600000381469727;7.31 - 17.68;5213578;0.0446;0.019406392187012483;1660521600;0.22859;4.6349206;2.4957266;3.15;5.85;2.394039;14241323008;1656547200;NOK
DOCK.PETR.AMBES AM;Energy;Oil & Gas Refining & Marketing;dpam.pa;460.0;397.66 - 468.00;0;0.0717;0.06702898550724638;1655856000;0.225;12.445888;N/A;36.96;N/A;0.45175;44988000;1640908800;EUR
DOF;Energy;Oil & Gas Equipment & Services;dof.ol;1.5219999551773071;0.51 - 4.86;4492934;N/A;0.0;1242432000;0.14559;0.45432836;1.7905881;3.35;0.85;1.959791;481646016;1648684800;NOK
DSM KON;Basic Materials;Specialty Chemicals;dsm.as;136.39999389648438;128.43 - 196.85;314428;0.0191;0.01823069485291787;1659571200;0.11406;21.89406;26.640625;6.23;5.12;0.740775;23592970240;1656547200;EUR
EASE2PAY NV;Technology;Software—Infrastructure;eas2p.as;2.25;2.10 - 3.50;2723;N/A;0.0;1463097600;-2.28249;N/A;N/A;-0.08;N/A;2.272469;24099300;1640908800;EUR
EBUSCO HOLDING N.V.;Consumer Cyclical;Auto Manufacturers;ebus.as;19.6200008392334;15.50 - 31.30;147503;N/A;0.0;N/A;-0.61931;N/A;N/A;-0.56;N/A;N/A;1158353024;1656547200;EUR
ECONOCOM GROUP;Technology;Information Technology Services;econb.br;3.1649999618530273;2.69 - 3.94;30677;0.044899996;0.040021064200110305;1656547200;0.02644;7.5357146;5.651786;0.42;0.56;1.531693;562661056;1656547200;EUR
EDDA WIND AS;Energy;Oil & Gas Equipment & Services;ewind.ol;23.549999237060547;23.25 - 36.70;71949;N/A;0.0;N/A;0.074250005;75.967735;12.66129;0.31;1.86;N/A;1514606464;1656547200;NOK
EDENRED;Financial Services;Credit Services;eden.pa;51.5;35.70 - 52.76;286782;0.0174;0.015210355987055014;1654560000;0.20138;39.01515;N/A;1.32;N/A;0.812204;12832770048;1656547200;EUR
EDF;Utilities;Utilities—Diversified;edf.pa;11.925000190734863;6.72 - 12.63;2550037;0.0476;0.03468992257582857;1652832000;-0.03917;9.173078;10.647322;1.3;1.12;1.07947;46331846656;1656547200;EUR
EDP;Utilities;Utilities—Diversified;edp.ls;5.1479997634887695;3.50 - 5.21;4922076;0.0367;0.03662878956160064;1650931200;0.032509997;32.175;19.066666;0.16;0.27;0.509933;20319463424;1656547200;EUR
EDP RENOVAVEIS;Utilities;Utilities—Renewable;edpr.ls;26.299999237060547;16.53 - 26.87;418211;0.0034;0.003168567899268395;1651017600;0.40457;32.07317;36.527775;0.82;0.72;0.500473;25262675968;1656547200;EUR
EGIDE;Technology;Electronic Components;gid.pa;0.9200000166893005;0.65 - 1.75;30407;N/A;0.0;N/A;0.0061799996;46.0;-23.0;0.02;-0.04;1.076631;9519148;1640908800;EUR
EUROPEAN HEALTHCARE ACQUISITION;Financial Services;Shell Companies;ehcs.as;9.449999809265137;9.45 - 11.00;0;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;189000000;N/A;EUR
EIDESVIK OFFSHORE;Energy;Oil & Gas Equipment & Services;eiof.ol;9.289999961853027;3.34 - 13.08;61294;N/A;0.0;1400198400;0.10762;9.107843;-2.0283842;1.02;-4.58;N/A;577373504;1648684800;NOK
EIFFAGE;Industrials;Engineering & Construction;fgr.pa;88.66000366210938;75.66 - 96.34;148983;0.035;0.03346116111130425;1652659200;0.04048;11.544271;9.274058;7.68;9.56;1.452696;8481898496;1640908800;EUR
EKINOPS;Technology;Communication Equipment;eki.pa;7.170000076293945;5.64 - 8.00;12833;N/A;0.0;N/A;0.072519995;22.40625;14.632653;0.32;0.49;1.283349;187344928;1656547200;EUR
EKOPAK NV;Utilities;Utilities—Regulated Water;ekop.br;20.399999618530273;15.22 - 21.80;10197;N/A;0.0;N/A;-0.048850004;N/A;N/A;-0.039;N/A;N/A;302409600;1625011200;EUR
ELEC.STRASBOURG;Utilities;Utilities—Renewable;elec.pa;102.5;95.87 - 113.34;146;0.055999998;0.06926829268292684;1653868800;0.03554;12.484775;N/A;8.21;N/A;0.521286;734848128;1656547200;EUR
ELECT. MADAGASCAR;Financial Services;Asset Management;eem.pa;3.2799999713897705;3.28 - 3.28;0;N/A;0.0;1348531200;0.0;N/A;N/A;-0.418;N/A;-0.200094;18676320;1609372800;EUR
ELECTROMAGNETIC GEOSERVICES;Energy;Oil & Gas Equipment & Services;emgs.ol;2.25;1.02 - 2.89;283266;N/A;0.0;N/A;0.30233;2.7108433;-28.125;0.83;-0.08;2.578524;294682496;1656547200;NOK
ELIA GROUP;Utilities;Utilities—Regulated Electric;eli.br;157.60000610351562;96.49 - 160.50;41034;0.0109;0.010844197972582076;1653868800;0.11165;35.257275;35.575623;4.47;4.43;0.267738;11578542080;1656547200;EUR
ELIOR GROUP;Consumer Cyclical;Restaurants;elior.pa;3.2060000896453857;1.99 - 7.40;776986;N/A;0.0301517978676535;1586217600;-0.07709;N/A;15.266667;-1.827;0.21;2.189687;552284800;1648684800;EUR
ELIS;Industrials;Specialty Business Services;elis.pa;12.960000038146973;11.00 - 16.65;192459;0.027999999;0.00951646087733867;1653436800;0.043909997;19.938463;9.391304;0.65;1.38;1.852412;2906150400;1656547200;EUR
ELKEM;Basic Materials;Specialty Chemicals;elk.ol;39.20000076293945;25.01 - 40.70;965289;0.0817;0.03188775448141771;1651104000;0.20988001;2.772277;7.567568;14.14;5.18;1.922016;24745236480;1656547200;NOK
ELLIPTIC LABORATORIES ASA;Technology;Software—Infrastructure;elabs.ol;18.31999969482422;16.08 - 29.50;149277;N/A;0.0;N/A;-0.29132998;N/A;22.072289;-0.169;0.83;N/A;1906635648;1656547200;NOK
ELMERA GROUP ASA;Utilities;Utilities—Regulated Electric;elmra.ol;22.81999969482422;17.13 - 48.99;504457;0.1528;0.14607070017136606;1651017600;0.01511;8.9140625;6.201087;2.56;3.68;0.835415;2573959168;1656547200;NOK
ELOPAK ASA;Consumer Cyclical;Packaging & Containers;elo.ol;20.0;12.76 - 27.57;141123;0.0366;0.012499999999999999;1652400000;0.00712;66.666664;10.638298;0.3;1.88;N/A;5384280064;1656547200;NOK
ENDÚR;Industrials;Conglomerates;endur.ol;29.989999771118164;18.55 - 48.45;24574;N/A;0.0;N/A;-0.02578;N/A;14.995;-2.382;2.0;0.976835;823312448;1648684800;NOK
