ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
alboo.pa;BOOSTHEAT;Technology;Consumer Electronics;0.04190000146627426;0.04 - 0.83;3081815.0;N/A;N/A;0.0;N/A;-0.03675439;-2.49;-1.14;2.023773;968853.0;1640908800;EUR;1676822585
alblu.pa;BLUELINEA;Healthcare;Medical Devices;1.5399999618530273;1.02 - 2.70;1697.0;N/A;N/A;-0.2203;N/A;N/A;-0.651;N/A;0.773613;18966640.0;1656547200;EUR;1676822585
aleno.pa;ENOGIA;Industrials;Specialty Industrial Machinery;3.7799999713897705;3.33 - 8.88;1248.0;N/A;N/A;-0.80009;N/A;N/A;-0.627;N/A;N/A;15376170.0;1656547200;EUR;1676822585
aleac.pa;EDILIZIACROBATICA;Industrials;Specialty Business Services;16.299999237060547;11.80 - 18.20;1215.0;0.018;1679875200;0.17018;6.5991898;N/A;2.47;N/A;0.974714;136076800.0;1656547200;EUR;1676822585
altri.pa;TRILOGIQ;Industrials;Business Equipment & Supplies;4.559999942779541;3.84 - 7.00;1364.0;N/A;1259712000;0.00875;91.2;N/A;0.05;0.0;0.8;16320149.0;1664496000;EUR;1676822585
alcar.pa;CARMAT;Healthcare;Medical Devices;10.550000190734863;8.14 - 15.59;40029.0;N/A;N/A;0.0;N/A;-4.9530516;-3.97;-2.13;0.943021;239141072.0;1656547200;EUR;1676822585
alagr.pa;AgroGeneration;Consumer Defensive;Farm Products;0.06499999761581421;0.06 - 0.20;186139.0;N/A;N/A;-0.36041;1.0833334;N/A;0.06;N/A;0.554493;15688335.0;1656547200;EUR;1676822585
alhrs.pa;HYDROGEN-REFUELING-SOLUTIONS;Consumer Cyclical;Specialty Retail;23.639999389648438;18.10 - 29.90;79450.0;N/A;N/A;-0.013739999;N/A;139.05882;-0.067;0.17;1.219245;360942592.0;1656547200;EUR;1676822585
alsgd.pa;SPINEGUARD;Healthcare;Medical Devices;0.8169999718666077;0.40 - 1.24;208196.0;N/A;N/A;-0.43794;N/A;-81.7;-0.063;-0.01;2.708604;25910664.0;1656547200;EUR;1676822585
alesa.pa;ECOSLOPS;Industrials;Waste Management;7.699999809265137;7.24 - 9.92;1078.0;N/A;N/A;-0.121309996;N/A;11.0;-0.721;0.7;1.064244;39874528.0;1656547200;EUR;1676822585
algid.pa;EGIDE;Technology;Electronic Components;0.800000011920929;0.43 - 1.71;120479.0;N/A;N/A;-0.06401;40.0;N/A;0.02;N/A;0.956405;8380960.0;1656547200;EUR;1676822585
alcbi.pa;CRYPTO BLOCKCHAIN INDUSTRIES;Financial Services;Asset Management;0.8330000042915344;0.52 - 2.40;52306.0;N/A;N/A;0.48416;83.3;N/A;0.01;N/A;N/A;213915232.0;1664496000;EUR;1676822585
alphe.pa;PHERECYDES PHARMA S.A.;Healthcare;Biotechnology;2.6600000858306885;1.86 - 6.25;19627.0;N/A;N/A;-0.80612;N/A;N/A;N/A;N/A;0.929811;20158386.0;1656547200;EUR;1676822585
althx.pa;THERANEXUS;Healthcare;Biotechnology;2.0299999713897705;1.42 - 3.00;8666.0;N/A;N/A;0.0;N/A;-1.1032609;-1.236;-1.84;2.100191;10789572.0;1656547200;EUR;1676822585
alupg.pa;UPERGY;Consumer Cyclical;Specialty Retail;3.4000000953674316;3.02 - 4.70;133.0;N/A;1513555200;0.039690003;9.189189;N/A;0.37;N/A;0.34608;15828258.0;1656547200;EUR;1676822585
aldei.pa;DEINOVE;Healthcare;Biotechnology;0.026499999687075615;0.01 - 0.41;0.0;N/A;N/A;0.0;N/A;-0.265;-0.243;-0.1;0.421032;1011966.0;1656547200;EUR;1676822585
alaud.pa;AUDACIA;Financial Services;Asset Management;5.679999828338623;4.68 - 6.78;544.0;N/A;N/A;0.0;27.047619;N/A;0.21;N/A;N/A;27668586.0;1656547200;EUR;1676822585
altho.pa;METAVISIO (THOMSON COMPUTING);Technology;Computer Hardware;2.700000047683716;1.98 - 9.70;17465.0;N/A;N/A;0.0;14.210526;N/A;0.19;N/A;N/A;19234368.0;N/A;EUR;1676822585
alvdm.pa;VOYAGEURS DU MONDE;Consumer Cyclical;Travel Services;106.0;73.00 - 108.40;2849.0;N/A;1561420800;0.00848;407.69232;19.37843;0.26;5.47;1.436328;399264896.0;1656547200;EUR;1676822585
aldub.pa;ENCRES DUBUIT;Basic Materials;Specialty Chemicals;3.7799999713897705;3.01 - 4.04;389.0;N/A;1238976000;0.028770002;18.9;47.25;0.2;0.08;0.36673;11561773.0;1656547200;EUR;1676822585
almdp.pa;MEDESIS PHARMA S.A.;Healthcare;Biotechnology;2.9549999237060547;1.80 - 7.16;1478.0;N/A;N/A;0.0;N/A;24.625;N/A;0.12;N/A;13214937.0;N/A;EUR;1676822585
alkem.pa;GROUPE BERKEM;Basic Materials;Specialty Chemicals;6.230000019073486;4.41 - 10.40;7587.0;0.010199999;1656892800;0.02132;623.0;N/A;0.01;N/A;N/A;109898448.0;1656547200;EUR;1676822585
alonx.pa;ONXEO;Healthcare;Biotechnology;0.3869999945163727;0.13 - 0.75;161338.0;N/A;N/A;0.0;N/A;-4.2999997;-0.07;-0.09;1.887571;43535176.0;1656547200;EUR;1676822585
alpjt.pa;POUJOULAT;Industrials;Building Products & Equipment;29.600000381469727;15.50 - 33.00;1606.0;0.0076;1664323200;0.06258;10.842491;9.899666;2.73;2.99;0.624856;234863872.0;1664496000;EUR;1676822585
alsen.pa;SENSORION;Healthcare;Biotechnology;0.33000001311302185;0.32 - 1.17;31931.0;N/A;N/A;0.0;N/A;-1.2222222;-0.145;-0.27;N/A;26939090.0;1656547200;EUR;1676822585
almet.pa;METHANOR;Utilities;Utilities—Diversified;3.7899999618530273;3.44 - 4.40;2244.0;N/A;1626134400;0.0;N/A;29.153847;-0.435;0.13;0.255449;7615550.0;1656547200;EUR;1676822585
altro.pa;TRONIC'S MICROSYSTEMS;Technology;Semiconductor Equipment & Materials;4.400000095367432;4.10 - 6.00;46.0;N/A;N/A;-0.38705003;N/A;N/A;-1.574;N/A;0.328871;39804556.0;1664496000;EUR;1676822585
alnov.pa;NOVACYT;Healthcare;Medical Devices;0.7200000286102295;0.70 - 2.98;253484.0;N/A;N/A;-0.09573;N/A;2.88;-0.163;0.25;-2.155258;51910276.0;1656547200;EUR;1676822585
alrfg.pa;RACING FORCE S.p.A.;Consumer Cyclical;Leisure;5.300000190734863;4.11 - 5.70;359.0;N/A;N/A;0.13564;17.096775;N/A;0.31;N/A;N/A;125914224.0;1656547200;EUR;1676822585
alobr.pa;OBER;Industrials;Building Products & Equipment;8.399999618530273;7.00 - 8.60;392.0;0.0714;1658707200;0.011030001;31.111109;4.6666665;0.27;1.8;0.640917;12109607.0;1656547200;EUR;1676822585
algir.pa;SIGNAUX GIROD;Industrials;Railroads;13.0;10.55 - 17.30;371.0;N/A;1536537600;-0.03559;N/A;N/A;-1.436;N/A;0.564435;13256230.0;1664496000;EUR;1676822585
albld.pa;BILENDI;Communication Services;Advertising Agencies;21.600000381469727;18.25 - 31.60;1625.0;N/A;N/A;0.09635;19.115046;15.0;1.13;1.44;0.935372;97801776.0;1656547200;EUR;1676822585
alter.pa;THERADIAG;Healthcare;Medical Devices;2.140000104904175;1.38 - 2.32;2262.0;N/A;N/A;-0.057239998;N/A;71.333336;-0.058;0.03;-0.158699;27964024.0;1656547200;EUR;1676822585
alfpc.pa;FOUNTAINE PAJOT;Consumer Cyclical;Recreational Vehicles;124.0;81.90 - 134.60;593.0;0.0149;1651017600;0.07976;12.984293;9.695074;9.55;12.79;1.539579;206698080.0;1646006400;EUR;1676822585
almil.pa;1000MERCIS;Communication Services;Advertising Agencies;27.799999237060547;20.00 - 30.50;13.0;N/A;1559865600;0.01601;95.86207;23.361343;0.29;1.19;0.760229;62349284.0;1656547200;EUR;1676822585
ali2s.pa;I2S;Industrials;Electrical Equipment & Parts;6.150000095367432;5.00 - 7.00;48.0;0.0228;1662422400;0.04111;10.42373;N/A;0.59;N/A;-0.039388;10694358.0;1656547200;EUR;1676822585
algbe.pa;GLOBALBIOENERGIES;Utilities;Utilities—Diversified;2.880000114440918;2.73 - 5.48;33111.0;N/A;N/A;0.0;N/A;N/A;-0.792;N/A;1.934608;42780384.0;1672444800;EUR;1676822585
alcj.pa;CROSSJECT;Healthcare;Medical Instruments & Supplies;4.179999828338623;1.41 - 4.95;39776.0;N/A;N/A;-1.7423599;N/A;-59.714283;-0.415;-0.07;1.297131;147966976.0;1656547200;EUR;1676822585
alrew.pa;REWORLD MEDIA;Communication Services;Advertising Agencies;5.980000019073486;4.66 - 7.67;25542.0;N/A;N/A;0.07981;8.422536;7.766234;0.71;0.77;0.842829;312791680.0;1656547200;EUR;1676822585
aldvi.pa;ADVICENNE;Healthcare;Biotechnology;3.9049999713897705;3.20 - 7.27;14942.0;N/A;N/A;-2.37179;N/A;-130.16667;-1.34;-0.03;1.079541;39139032.0;1656547200;EUR;1676822585
alval.pa;VALBIOTIS;Healthcare;Biotechnology;3.7300000190734863;3.23 - 7.10;12469.0;N/A;N/A;0.0;N/A;-10.970588;-0.948;-0.34;0.491395;46288556.0;1656547200;EUR;1676822585
alago.pa;E-PANGO;Utilities;Utilities—Renewable;2.0399999618530273;0.21 - 4.47;144345.0;N/A;N/A;-0.17909999;102.0;N/A;0.02;N/A;N/A;13592418.0;1656547200;EUR;1676822585
alphi.pa;FACEPHI;Technology;Software—Application;3.0799999237060547;2.05 - 3.99;111.0;N/A;N/A;0.0030899998;308.0;N/A;0.01;N/A;1.292543;50886220.0;1656547200;EUR;1676822585
allam.pa;LLAMA GROUP;Technology;Communication Equipment;1.5;0.23 - 3.03;395394.0;N/A;N/A;-0.28323;N/A;-2.3809524;N/A;-0.63;1.101207;19525500.0;1656547200;EUR;1676822585
aldr.pa;DELTA DRONE;Industrials;Aerospace & Defense;0.00039999998989515007;0.00 - 18.00;164339412.0;N/A;N/A;-0.55797;N/A;N/A;-17.729;N/A;0.655449;131528.0;1656547200;EUR;1676822585
alica.pa;ICAPE HOLDING;Technology;Electronic Components;17.025999069213867;13.80 - 17.97;3649.0;N/A;N/A;0.01789;40.538094;N/A;0.42;N/A;N/A;137346688.0;1656547200;EUR;1676822585
alcor.pa;BIOCORP;Healthcare;Medical Devices;22.700000762939453;13.40 - 38.90;2631.0;N/A;N/A;-0.082270004;324.28574;61.351353;0.07;0.37;1.023326;102085536.0;1656547200;EUR;1676822585
alcib.pa;CIBOX INTER A CTIV;Technology;Computer Hardware;0.04100000113248825;0.04 - 0.13;106340.0;N/A;902707200;-0.08329;N/A;N/A;N/A;N/A;1.330783;5030290.0;1656547200;EUR;1676822585
alrea.pa;REALITES;Real Estate;Real Estate Services;30.600000381469727;26.30 - 42.00;936.0;0.0588;1653264000;0.026800001;13.660714;7.8461537;2.24;3.9;0.883747;133684360.0;1656547200;EUR;1676822585
alcla.pa;CLASQUIN;Industrials;Integrated Freight & Logistics;58.0;45.60 - 74.60;2540.0;0.0651;1654819200;0.025810001;5.6475167;11.218569;10.27;5.17;1.125812;133108256.0;1656547200;EUR;1676822585
